@relation Protein
@attribute Feature1 real
@attribute Feature2 real
@attribute Feature3 real
@attribute Feature4 real
@attribute Feature5 real
@attribute Feature6 real
@attribute Feature7 real
@attribute Feature8 real
@attribute Feature9 real
@attribute Feature10 real
@attribute Feature11 real
@attribute Feature12 real
@attribute Feature13 real
@attribute Feature14 real
@attribute Feature15 real
@attribute Feature16 real
@attribute Feature17 real
@attribute Feature18 real
@attribute Feature19 real
@attribute Feature20 real
@attribute Feature21 real
@attribute Feature22 real
@attribute Feature23 real
@attribute Feature24 real
@attribute Feature25 real
@attribute Feature26 real
@attribute Feature27 real
@attribute Feature28 real
@attribute Feature29 real
@attribute Feature30 real
@attribute Feature31 real
@attribute Feature32 real
@attribute Feature33 real
@attribute Feature34 real
@attribute Feature35 real
@attribute Feature36 real
@attribute Feature37 real
@attribute Feature38 real
@attribute Feature39 real
@attribute Feature40 real
@attribute Feature41 real
@attribute Feature42 real
@attribute Feature43 real
@attribute Feature44 real
@attribute Feature45 real
@attribute class {0,1}
@data
0.905,0.85,0.56,0.41,0.44,0.52,0.47,0.66,0.5,0.52,0.964560606060606,0.74,0.68,0.31,0.43,0.44,0.42,0.49,0.69,0.61,0.7410000000000001,0.72,0.63,0.41,0.36,0.43,0.48,0.37,0.51,0.54,0.63,0.79,0.76,0.8,0.67,0.69,0.88,0.9,0.7,0.6782912154031288,0.76,0.93,0.9,0.76,0.89,1
0.9063333333333332,0.98,0.93,0.97,0.85,0.85,0.81,0.84,0.84,0.81,0.9621111111111111,0.9,0.9,0.82,0.7,0.71,0.71,0.71,0.71,0.68,0.96,0.87,0.74,0.76,0.61,0.69,0.68,0.62,0.74,0.65,0.96,0.75,0.96,0.98,0.97,0.98,0.93,0.9,0.93,0.9404572803850781,0.68,0.97,0.99,1.0,0.96,1
0.603,0.57,0.71,0.76,0.73,0.8,0.48,0.67,0.64,0.7,0.8817251082251083,0.57,0.82,0.7,0.79,0.74,0.74,0.79,0.78,0.74,0.5643333333333334,0.66,0.66,0.65,0.8,0.85,0.82,0.83,0.71,0.81,0.69,0.65,0.77,0.65,0.73,0.48,0.78,0.8,0.88,0.7563297232250302,0.85,0.68,0.79,0.78,0.78,1
0.9516666666666667,0.89,0.66,0.55,0.66,0.59,0.73,0.62,0.55,0.57,0.9841666666666667,0.82,0.69,0.6,0.59,0.57,0.62,0.49,0.52,0.63,0.9611428571428572,0.96,0.64,0.63,0.59,0.57,0.56,0.55,0.58,0.51,0.73,0.69,0.71,0.74,0.59,0.75,0.26,0.53,0.68,0.7464259927797834,0.62,0.87,0.9,0.82,0.76,1
0.912051282051282,0.85,0.87,0.79,0.85,0.87,0.65,0.73,0.57,0.52,0.91,0.57,0.9,0.84,0.81,0.81,0.72,0.75,0.67,0.79,0.9689761904761904,0.89,0.84,0.9,0.83,0.86,0.81,0.76,0.61,0.76,0.71,0.77,0.54,0.58,0.79,0.49,0.66,0.51,0.44,0.7559326113116727,0.77,0.78,0.74,0.84,0.72,1
0.7075238095238094,0.4,0.4,0.46,0.53,0.54,0.52,0.64,0.61,0.61,0.3546328393828393,0.285,0.34,0.42,0.34,0.47,0.58,0.51,0.57,0.52,0.6712142857142858,0.29,0.49,0.6,0.49,0.49,0.61,0.61,0.59,0.66,0.86,0.75,0.87,0.65,0.89,0.61,0.87,0.71,0.7,0.4540673886883277,0.35,0.95,0.92,0.91,0.85,1
0.3406349206349207,0.64,0.55,0.53,0.64,0.72,0.45,0.39,0.47,0.43,0.5707994227994226,0.53,0.41,0.65,0.61,0.66,0.56,0.49,0.52,0.53,0.3318571428571429,0.49,0.56,0.62,0.7,0.67,0.59,0.61,0.51,0.51,0.58,0.69,0.38,0.75,0.55,0.29,0.59,0.74,0.84,0.7854512635379062,0.6,0.87,0.87,0.73,0.84,1
0.785,0.81,0.89,0.8,0.85,0.86,0.92,0.89,0.88,0.87,0.8253333333333333,0.52,0.58,0.54,0.64,0.69,0.65,0.72,0.76,0.79,0.523,0.61,0.6,0.71,0.77,0.78,0.67,0.72,0.84,0.67,0.95,0.64,0.66,0.8,0.68,0.83,0.96,0.77,0.75,0.49999999999999994,0.55,0.82,0.82,0.76,0.76,1
0.0,0.2,0.16,0.1,0.13,0.09,0.11,0.1,0.08,0.05,0.18935183199116432,0.125,0.14,0.15,0.16,0.11,0.06,0.21,0.26,0.14,0.08495857091189574,0.0,0.09,0.08,0.05,0.09,0.09,0.09,0.04,0.06,0.05,0.04,0.03,0.1,0.07,0.04,0.23,0.03,0.09,0.08470517448856794,0.06,0.02,0.02,0.02,0.01,0
0.4840039682539683,0.12,0.32,0.31,0.42,0.37,0.42,0.48,0.27,0.35,0.275238539968803,0.01,0.25,0.19,0.33,0.36,0.34,0.47,0.27,0.31,0.4840039682539683,0.02,0.33,0.2,0.4,0.34,0.4,0.43,0.42,0.41,0.08,0.16,0.1,0.14,0.08,0.21,0.07,0.11,0.1,0.19157641395908548,0.12,0.03,0.04,0.23,0.22,0
0.02,0.25,0.32,0.48,0.34,0.18,0.15,0.26,0.12,0.17,0.2653373015873016,0.28,0.25,0.18,0.15,0.19,0.2,0.14,0.16,0.14,0.2956752121717291,0.32,0.29,0.32,0.25,0.3,0.29,0.29,0.18,0.28,0.16,0.04,0.06,0.03,0.02,0.04,0.05,0.05,0.12,0.08480144404332131,0.21,0.02,0.0,0.1,0.02,0
