@relation RSN
@attribute F1 numeric
@attribute F2 {1,2,3,4}
@attribute F3 {1,2,3}
@attribute F4 {1,2}
@attribute F5 {1,2,3,4,5,6,7,8,9,10}
@attribute F6 numeric
@attribute pStage {1,2,3,4,5}
@attribute F8 {1,2,3,4,5,6,7,8,9}
@attribute F9 {1,2}
@attribute F10 {1,2}
@attribute F11 {1,2}
@attribute F12 {1,2}
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute F18 {1,2,3}
@attribute F19 {1,2,3}
@attribute F20 {1,2,3}
@attribute class {1,2}
@data
75,2,1,2,2,2,2,1,1,1,2,1,2,2,1,1,4,2,2,2,2
62,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,3,1,2,2,1
58,4,3,2,2,2,1,3,1,1,2,2,3,3,2,2,2,1,1,1,1
62,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,1
41,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,3,3,3,1
68,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,2,1
68,2,2,1,9,10,1,1,2,2,2,2,1,1,1,1,2,2,2,2,2
39,1,3,1,2,2,1,1,2,2,2,1,1,1,1,1,2,3,3,3,1
64,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,2,2,3,1
64,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,2,2,3,1
45,4,2,2,2,2,5,6,2,1,2,1,2,3,2,2,2,1,1,1,1
73,1,1,2,9,2,3,9,2,2,2,2,1,1,1,1,4,2,2,2,2
81,3,1,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
59,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2
57,1,1,2,2,2,1,1,1,1,2,1,2,3,3,3,4,2,2,2,1
43,4,2,2,4,2,5,6,1,1,2,1,2,2,1,1,2,1,2,2,2
48,4,2,2,1,2,5,6,2,2,2,1,1,1,1,1,3,1,1,1,2
44,1,3,2,9,2,2,9,2,2,2,2,1,1,1,1,4,2,2,2,1
50,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1
50,2,3,2,4,2,3,7,1,1,2,1,1,1,1,1,2,2,2,2,1
64,4,2,2,2,2,4,1,1,1,2,1,2,2,2,2,2,2,2,2,1
83,3,1,2,1,11,5,1,2,2,2,2,1,1,1,1,4,2,2,3,2
83,3,1,2,2,11,5,6,2,2,2,2,1,1,1,1,4,2,2,3,2
48,4,2,2,2,2,4,1,1,1,2,1,2,2,3,3,2,1,1,2,1
44,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,4,3,3,3,1
44,1,1,2,1,2,1,1,1,1,2,1,2,2,2,3,4,2,2,2,1
47,1,1,1,3,2,1,1,2,2,2,2,1,1,1,1,2,2,2,2,1
59,3,1,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
65,3,1,2,2,2,5,6,2,2,2,2,1,1,1,1,4,2,2,2,2
73,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
54,3,1,2,9,2,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
58,1,3,2,9,11,5,9,2,2,2,1,1,1,1,1,4,2,2,2,1
76,3,1,2,3,2,4,1,1,1,2,1,1,1,1,1,3,1,2,1,2
44,1,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,2
59,3,1,2,2,11,5,6,2,2,2,1,1,1,1,1,4,2,2,2,2
60,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,2,1
77,3,1,2,2,2,5,6,1,1,2,1,1,1,1,1,2,2,2,2,2
62,3,1,2,3,2,2,1,2,2,2,1,1,1,1,1,1,2,2,2,1
53,3,1,2,2,2,4,6,1,1,2,1,1,1,1,1,2,2,2,2,2
59,3,1,2,3,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,1
62,3,1,2,1,11,1,1,2,2,2,2,1,1,1,1,4,2,2,2,1
64,3,1,2,1,2,1,1,2,2,2,2,1,1,1,1,3,2,2,2,1
40,1,1,2,1,2,1,1,1,1,2,1,2,2,2,2,3,2,2,2,1
55,4,2,2,9,2,5,6,2,1,2,2,3,3,1,1,4,2,2,2,2
55,2,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,3,3,3,1
56,3,1,1,10,10,5,1,2,2,2,2,1,1,1,1,2,2,2,2,1
55,3,1,1,10,10,5,9,2,2,2,2,1,1,1,1,4,2,2,2,1
51,1,1,2,9,11,5,6,2,2,2,1,1,1,1,1,3,1,2,2,2
51,1,1,1,3,2,1,1,1,1,2,2,2,2,1,1,4,2,2,2,1
41,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1
65,2,2,2,2,11,5,6,2,1,2,2,3,3,2,2,4,2,2,2,2
69,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,4,2,2,2,1
48,4,2,2,1,2,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
48,1,3,2,2,2,3,1,1,1,2,1,3,3,2,2,3,2,2,2,1
62,4,2,2,2,2,5,6,2,1,2,1,3,3,3,3,2,1,2,2,2
78,3,1,2,2,2,4,1,1,1,2,1,1,1,1,1,3,2,2,2,2
51,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1
50,3,1,2,2,2,2,1,2,2,2,1,1,1,1,1,3,2,2,2,1
42,2,1,2,2,2,3,9,2,2,2,1,1,1,1,1,3,2,2,2,1
66,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,2
66,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,2
51,3,1,2,2,2,5,6,1,1,2,1,1,1,1,1,4,3,3,3,2
71,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,4,2,2,2,2
53,4,2,2,3,2,5,6,2,1,2,1,3,3,2,2,2,1,2,2,2
64,1,3,2,9,2,5,6,2,2,2,2,1,1,1,1,4,3,3,3,2
45,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,3,1,2,1,1
54,3,1,2,2,2,3,1,2,2,2,1,1,1,1,1,4,2,2,2,1
65,2,2,1,9,10,1,9,2,2,2,2,1,1,1,1,3,2,2,2,1
53,4,2,2,4,11,5,6,1,1,2,1,3,2,2,2,4,2,2,2,2
40,1,1,2,3,2,1,1,2,2,2,1,1,1,1,1,4,2,2,2,1
40,1,1,2,3,2,1,1,2,2,2,1,1,1,1,1,4,2,2,2,1
57,4,2,2,2,2,4,1,1,1,2,1,2,2,2,2,3,1,2,1,1
58,4,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,2,1,1
46,1,3,2,9,2,5,1,2,2,2,2,1,1,1,1,3,2,2,2,2
57,1,3,2,3,2,1,1,2,2,2,1,1,1,1,1,3,2,2,2,1
52,2,1,2,2,2,1,1,2,2,2,2,1,1,1,1,3,1,2,2,1
71,3,3,2,9,11,5,9,2,2,2,2,1,1,1,1,4,2,2,2,2
