@relation RNUM
@attribute F1 numeric
@attribute F6 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute BMI numeric
@attribute class {1,2}
@data
78,10,1,1,1,1,4,1
71,10,1,1,1,1,2,1
51,2,1,1,1,1,2,2
51,10,1,1,1,1,4,1
39,11,1,1,1,1,4,2
72,2,1,1,1,1,2,1
53,2,3,3,2,2,2,2
59,2,1,1,1,1,4,1
90,11,1,1,1,1,4,2
59,2,1,1,1,1,4,1
65,2,1,1,1,1,3,1
45,2,3,3,2,2,2,1
53,11,1,1,1,1,4,1
53,11,1,1,1,1,4,1
78,2,1,1,1,1,2,1
48,10,1,1,1,1,4,1
64,2,1,1,1,1,3,1
50,2,2,2,1,1,4,1
72,11,1,1,1,1,2,1
63,2,1,1,1,1,2,1
75,2,1,1,1,1,4,1
60,2,1,1,1,1,4,1
74,10,1,1,1,1,3,1
77,2,1,1,1,1,4,1
50,11,1,1,1,1,4,1
69,11,1,1,1,1,4,2
43,11,1,1,1,1,4,1
47,2,1,1,1,1,3,1
33,11,2,2,3,3,2,1
53,11,1,1,1,1,4,1
79,2,3,3,3,3,4,1
57,2,1,1,1,1,3,1
44,11,1,1,1,1,4,1
80,2,2,2,1,1,4,2
67,10,1,1,1,1,3,1
67,10,1,1,1,1,3,1
58,2,1,1,1,1,4,1
55,2,2,3,2,2,2,1
56,10,1,1,1,1,4,1
59,2,1,1,1,1,1,2
38,11,1,1,1,1,4,1
63,2,1,1,1,1,2,1
41,2,1,1,1,1,4,2
49,2,1,1,1,1,4,2
39,11,1,1,1,1,4,1
51,11,1,1,1,1,4,1
45,2,1,1,1,1,3,1
42,11,1,1,1,1,4,1
50,2,1,1,1,1,3,1
38,10,1,1,1,1,4,1
69,2,2,2,2,2,2,1
64,2,1,1,1,1,4,2
42,11,1,1,1,1,4,1
47,2,1,1,1,1,2,2
47,11,1,1,1,1,2,2
40,11,1,1,1,1,4,1
46,7,1,1,1,1,4,1
40,2,1,1,1,1,2,2
83,11,1,1,1,1,4,2
37,10,1,1,1,1,4,1
69,2,1,1,1,1,4,2
64,11,1,1,1,1,1,1
75,2,1,1,1,1,2,2
51,11,1,1,1,1,4,1
44,2,1,1,1,1,2,1
51,2,3,2,3,3,3,2
77,2,1,1,1,1,2,1
62,2,1,1,1,1,4,2
53,2,2,2,1,1,2,2
89,2,2,3,2,2,4,2
41,2,1,1,1,1,4,1
68,10,1,1,1,1,4,1
68,10,1,1,1,1,4,1
68,10,1,1,1,1,4,1
52,2,1,1,1,1,4,2
38,2,1,1,1,1,4,1
35,11,1,1,1,1,4,1
40,11,1,1,1,1,4,1
49,2,1,1,1,1,2,2
74,11,1,1,1,1,4,1
54,10,1,1,1,1,4,1
43,2,1,1,1,1,4,2
60,2,1,1,1,1,3,1
77,11,1,1,1,1,4,1
69,11,2,2,2,3,3,2
60,2,1,1,1,1,4,2
40,2,1,1,1,1,4,1
85,2,1,1,1,1,2,1
63,2,1,1,1,1,4,1
53,2,3,3,3,3,4,1
43,11,1,1,1,1,4,1
49,10,1,1,1,1,2,2
56,2,3,3,3,3,3,1
55,11,1,1,1,1,4,1
57,2,1,1,1,1,3,1
35,2,1,1,1,1,3,1
41,2,1,1,1,1,4,1
67,2,1,1,1,1,4,2
